Name,Vị,Năng lượng (kcal),Hydrat carbon (g),Chất đạm (g),Chất béo (g),Cynarin (g),Vitamin C (mg),Natri (mg),Tỉ lệ nước ép táo cô đặc,Tỉ lệ nước ép lựu cô đặc,Tỉ lệ nước ép cam cô đặc,Tỉ lệ nước ép,Tỉ lệ nước ép nho cô đặc,Tỉ lệ nước ép ổi cô đặc,Tỉ lệ nước ép kiwi cô đặc,Tỉ lệ nước ép đào cô đặc,EGCG (mg),Polyphenol (mg),L-Theanin (mg)
Nước ép Vinamilk Cam,Cam,50.0,12.5,1.0,0.5,0.0,19.0,0.0,0.0,0.0,0.204,0.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nước ép Vinamilk Necta Cam,Cam,48.0,12.0,0.5,0.5,0.0,20.0,1.1,0.0,0.0,0.5,0.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nước ép Vinamilk Nho,Nho,66.0,16.5,0.5,0.5,0.0,20.0,1.7,0.0,0.0,0.0,0.999,0.248,0.0,0.0,0.0,0.0,0.0,0.0
Nước ép Vinamilk Táo,Táo,48.0,12.0,0.5,0.5,0.0,10.0,1.6,0.205,0.0,0.0,0.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nước ép Vinamilk Ổi Ruột Hồng,Ổi Ruột Hồng,52.0,13.0,0.5,0.5,0.0,10.0,0.4,0.0,0.0,0.0,0.99,0.0,0.25,0.0,0.0,0.0,0.0,0.0
Nước ép Vinamilk Lựu Táo,Lựu - Táo,48.0,12.0,0.5,0.5,0.0,10.0,1.1,0.102,0.076,0.0,0.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nước ép Vinamilk Necta Đào,Đào,48.0,12.0,0.5,0.5,0.0,10.0,1.3,0.0,0.0,0.0,0.997,0.42,0.0,0.0,0.0,0.0,0.0,0.0
Nước ép Vinamilk Kiwi Táo,Kiwi - Táo,52.0,13.0,0.5,0.5,0.0,10.0,0.65,0.113,0.0,0.0,0.999,0.0,0.0,0.083,0.0,0.0,0.0,0.0
Trà Đào Tự Nhiên – TH true TEA,Trà đào,34.8,8.7,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trà Vải Tự Nhiên – TH true TEA,Trà vải,34.8,8.7,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trà Xanh Vị Chanh Tự Nhiên – TH true TEA,Trà chanh,34.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
Trà Ô Long Tự Nhiên – TH true TEA,Trà ô long,28.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
NƯỚC CAM TỰ NHIÊN – TH TRUE JUICE,Cam,46.0,11.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.994,0.994,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NƯỚC TÁO TỰ NHIÊN – TH TRUE JUICE,Táo,48.0,12.0,0.5,0.5,0.0,0.0,0.0,0.9996,0.0,0.0,0.9996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NƯỚC TÁO ĐÀO TỰ NHIÊN - TH TRUE JUICE,Táo đào,44.0,11.0,0.5,0.5,0.0,0.0,0.0,0.9673,0.0,0.0,0.97,0.0,0.0,0.0,0.032,0.0,0.0,0.0
Nước ép Twister,Cam,52.5,5.9,0.0,0.0,0.0,11.4,5.5,0.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
